en,or
Region to Match Help,ସହାୟତା ମେଳ କରିବାକୁ ଅଞ୍ଚଳ |
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,ଆପଣ ଚୟନ କରୁଥିବା ଲାଇବ୍ରେରୀଟି ସମ୍ପୂର୍ଣ୍ଣ ସ୍ପେକ୍ଟ୍ରମ୍ କିମ୍ବା କେବଳ ସ୍ପେକ୍ଟ୍ରମ୍ ଶିଖରକୁ ନେଇ ଏହି ଚୟନ ନିର୍ଣ୍ଣୟ କରିବ |
Partner With Us,ଆମ ସହିତ ସହଭାଗୀ |
Help us reach our goal of revolutionizing spectroscopy.,ସ୍ପେକ୍ଟ୍ରସ୍କୋପିରେ ପରିବର୍ତ୍ତନ ଆଣିବା ପାଇଁ ଆମର ଲକ୍ଷ୍ୟରେ ପହଞ୍ଚିବାରେ ସାହାଯ୍ୟ କରନ୍ତୁ |
Donate Cash,ନଗଦ ଦାନ କରନ୍ତୁ |
Buy From Swag Store,ସ୍ ag ାଗ୍ ଷ୍ଟୋରରୁ କିଣ |
Contribute time,ସମୟ ଯୋଗଦାନ କରନ୍ତୁ |
Revolutionizing,ବିପ୍ଳବ
Thriving,ଉନ୍ନତି
Maintaining,ରକ୍ଷଣାବେକ୍ଷଣ
Supporting,ସମର୍ଥନ
Saving,ସଞ୍ଚୟ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ଏକ ଦେୟଯୁକ୍ତ ଦଳ ଯାହା ଓପନ୍ ସ୍ପେସିକୁ ଏକ କ୍ଲିକ୍ ସହିତ 100% ସଠିକ୍ ସ୍ପେକ୍ଟ୍ରାଲ୍ ଆଇଡେଣ୍ଟିଫିକେସନ୍ ଏବଂ ଗଭୀର ସ୍ପେକ୍ଟ୍ରାଲ୍ ଡାଇଗ୍ନୋଷ୍ଟିକ୍ସର ମୂଳ ଲକ୍ଷ୍ୟର ନିକଟତର କରୁଛି |
A single paid staff person working to update and build the community and the tool,ସମ୍ପ୍ରଦାୟ ଏବଂ ଉପକରଣକୁ ଅଦ୍ୟତନ ଏବଂ ନିର୍ମାଣ କରିବା ପାଇଁ କାର୍ଯ୍ୟ କରୁଥିବା ଏକକ ବେତନ ପ୍ରାପ୍ତ କର୍ମଚାରୀ |
Maintenance costs and minor ad-hoc updates and bug fixes,ରକ୍ଷଣାବେକ୍ଷଣ ଖର୍ଚ୍ଚ ଏବଂ ଛୋଟ ଆଡ-ହକ୍ ଅପଡେଟ୍ ଏବଂ ବଗ୍ ଫିକ୍ସ |
Keeping the app online and essential maintenance,ଆପକୁ ଅନଲାଇନ୍ ରଖିବା ଏବଂ ଅତ୍ୟାବଶ୍ୟକ ରକ୍ଷଣାବେକ୍ଷଣ |
Long term storage only,କେବଳ ଦୀର୍ଘକାଳୀନ ସଂରକ୍ଷଣ |
Sharing Metadata,ମେଟାଡାଟା ଅଂଶୀଦାର |
Thank you for sharing your data!,ଆପଣଙ୍କର ତଥ୍ୟ ଅଂଶୀଦାର କରିଥିବାରୁ ଧନ୍ୟବାଦ!
Your data will soon be available at https://osf.io/stmv4/,ଆପଣଙ୍କର ତଥ୍ୟ ଶୀଘ୍ର https://osf.io/stmv4/ ରେ ଉପଲବ୍ଧ ହେବ |
Something went wrong :-(,କିଛି ଭୁଲ ହୋଇ ଗଲା :-(
Data type not supported!,ଡାଟା ପ୍ରକାର ସମର୍ଥିତ ନୁହେଁ!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ଅପଲୋଡ୍ ହୋଇଥିବା ଡାଟା ପ୍ରକାର ସମ୍ପ୍ରତି ସମର୍ଥିତ ନୁହେଁ; ଦୟାକରି
                      ସବିଶେଷ ତଥ୍ୟ ପାଇଁ ଟୁଲ୍ ଟିପ୍ସ ଏବଂ 'ବିଷୟରେ' ଟ୍ୟାବ୍ ଯାଞ୍ଚ କରନ୍ତୁ |"
Sharing Spectrum to Community Library,କମ୍ୟୁନିଟି ଲାଇବ୍ରେରୀରେ ସ୍ପେକ୍ଟ୍ରମ୍ ଅଂଶୀଦାର |
Reading Spectrum,ସ୍ପେକ୍ଟ୍ରମ୍ ପ Reading ିବା |
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","ଯଦି ଆପଣ ଏକ ଟେକ୍ସଟ୍ / csv ଫାଇଲ୍ ଅପଲୋଡ୍ କରନ୍ତି, ନିଶ୍ଚିତ କରନ୍ତୁ ଯେ
           ସ୍ତମ୍ଭଗୁଡ଼ିକ ସାଂଖ୍ୟିକ ଏବଂ ଏହାର ନାମ 'ୱେଭେମ୍ବର' ଏବଂ |
           'ତୀବ୍ରତା'"
absorbance intensity [-],ଅବଶୋଷଣର ତୀବ୍ରତା [-]
wavenumber [cm<sup>-1</sup>],wavenumber [cm <sup> -1 </sup>]
Analyzing Spectrum,ସ୍ପେକ୍ଟ୍ରମ୍ ବିଶ୍ଳେଷଣ କରିବା |
Finding Match,ମ୍ୟାଚ୍ ଖୋଜିବା
Making Plot,ପ୍ଲଟ୍ ତିଆରି କରିବା |
Material,ସାମଗ୍ରୀ
Pearson's r,ପିଆରସନଙ୍କ r
Organization,ସଂଗଠନ |
Selectable Matches,ଚୟନ ଯୋଗ୍ୟ ମେଳ |
Donations,ଦାନ
Operation Costs,ଅପରେସନ୍ ଖର୍ଚ୍ଚ
Selection Metadata,ଚୟନ ମେଟାଡାଟା |
