en,pa
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","ਇਸ ਬੇਸਲਾਈਨ ਸੁਧਾਰ ਰੂਟੀਨ ਵਿੱਚ ਬੇਸਲਾਈਨ ਸੁਧਾਰ ਲਈ ਦੋ ਵਿਕਲਪ ਹਨ, 1) ਸਪੈਕਟਰਾ ਦੇ ਪੂਰੇ ਖੇਤਰ ਵਿੱਚ ਬਹੁਪਦ ਦੀ ਫਿੱਟ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋਏ ਸਪੈਕਟ੍ਰਮ ਦੀ ਬੇਸਲਾਈਨ ਨੂੰ ਦੁਹਰਾਉਣ ਲਈ ਬਹੁਪਦਵੀ ਇਮੋਡਪੋਲੀਫਿਟ ਪ੍ਰਕਿਰਿਆ। 2) ਪਲਾਟ 'ਤੇ ਲਾਈਨ ਟੂਲ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਹੱਥੀਂ ਲਾਈਨਾਂ ਖਿੱਚੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ ਅਤੇ ਸਹੀ ਬਟਨ ਬੇਸਲਾਈਨ ਨੂੰ ਘਟਾਉਣ ਲਈ ਲਾਈਨਾਂ ਦੀ ਵਰਤੋਂ ਕਰੇਗਾ।"
Baseline Correction Polynomial,ਬੇਸਲਾਈਨ ਸੁਧਾਰ ਬਹੁਪਦ
Technique,ਤਕਨੀਕ
Polynomial,ਬਹੁਪਦ
Manual,ਮੈਨੁਅਲ
Correct With Trace,ਟਰੇਸ ਨਾਲ ਸਹੀ
Reset,ਰੀਸੈਟ ਕਰੋ
Range Selection,ਰੇਂਜ ਦੀ ਚੋਣ
Spectral Range Help,ਸਪੈਕਟ੍ਰਲ ਰੇਂਜ ਮਦਦ
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,ਸਪੈਕਟ੍ਰਲ ਰੇਂਜ ਨੂੰ ਸੀਮਤ ਕਰਨ ਨਾਲ ਸਪੈਕਟ੍ਰਮ ਦੇ ਉਹਨਾਂ ਖੇਤਰਾਂ ਨੂੰ ਹਟਾ ਦਿੱਤਾ ਜਾ ਸਕਦਾ ਹੈ ਜਿੱਥੇ ਕੋਈ ਵੀ ਚੋਟੀ ਮੌਜੂਦ ਨਹੀਂ ਹੈ ਅਤੇ ਮੇਲ ਖਾਂਦੀ ਹੈ
Maximum Spectral Range,ਅਧਿਕਤਮ ਸਪੈਕਟ੍ਰਲ ਰੇਂਜ
Minimum Spectral Range,ਨਿਊਨਤਮ ਸਪੈਕਟ੍ਰਲ ਰੇਂਜ
Identify Spectrum,ਸਪੈਕਟ੍ਰਮ ਦੀ ਪਛਾਣ ਕਰੋ
Identify Spectrum Using the Reference Library,ਰੈਫਰੈਂਸ ਲਾਇਬ੍ਰੇਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋਏ ਸਪੈਕਟ੍ਰਮ ਦੀ ਪਛਾਣ ਕਰੋ
Raman,ਰਮਨ
FTIR,FTIR
Spectra,ਸਪੈਕਟਰਾ
Type,ਟਾਈਪ ਕਰੋ
Spectrum Type Help,ਸਪੈਕਟ੍ਰਮ ਕਿਸਮ ਮਦਦ
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,ਇਹ ਚੋਣ ਇਹ ਨਿਰਧਾਰਿਤ ਕਰੇਗੀ ਕਿ ਕੀ FTIR ਜਾਂ ਰਮਨ ਮੈਚਿੰਗ ਲਾਇਬ੍ਰੇਰੀ ਦੀ ਵਰਤੋਂ ਕੀਤੀ ਜਾਂਦੀ ਹੈ। ਅਪਲੋਡ ਕੀਤੇ ਗਏ ਸਪੈਕਟ੍ਰਮ ਦੀ ਕਿਸਮ ਚੁਣੋ।
Analysis,ਵਿਸ਼ਲੇਸ਼ਣ
Processed,ਪ੍ਰਕਿਰਿਆ ਕੀਤੀ ਗਈ
Uploaded,ਅੱਪਲੋਡ ਕੀਤਾ
Spectrum to Analyze Help,ਮਦਦ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ ਕਰਨ ਲਈ ਸਪੈਕਟ੍ਰਮ
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,ਇਹ ਚੋਣ ਇਹ ਨਿਰਧਾਰਿਤ ਕਰੇਗੀ ਕਿ ਕੀ ਅੱਪਲੋਡ ਕੀਤਾ ਗਿਆ (ਪ੍ਰਕਿਰਿਆ ਨਹੀਂ ਕੀਤਾ ਗਿਆ) ਸਪੈਕਟ੍ਰਮ ਜਾਂ ਪ੍ਰੋਸੈਸਿੰਗ ਟੈਬ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਪ੍ਰੋਸੈਸ ਕੀਤਾ ਗਿਆ ਸਪੈਕਟ੍ਰਮ ਸਪੈਕਟ੍ਰਮ ਮੈਚ ਵਿੱਚ ਵਰਤਿਆ ਗਿਆ ਹੈ।
Region,ਖੇਤਰ
Full,ਪੂਰਾ
Peaks,ਪੀਕ
Region to Match Help,ਮਦਦ ਨਾਲ ਮੇਲ ਕਰਨ ਲਈ ਖੇਤਰ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"ਇਹ ਚੋਣ ਇਹ ਨਿਰਧਾਰਿਤ ਕਰੇਗੀ ਕਿ ਤੁਸੀਂ ਜਿਸ ਲਾਇਬ੍ਰੇਰੀ ਨਾਲ ਮੇਲ ਕਰ ਰਹੇ ਹੋ, ਉਸ ਵਿੱਚ ਪੂਰਾ ਸਪੈਕਟ੍ਰਮ ਹੈ ਜਾਂ ਸਿਰਫ਼ ਸਪੈਕਟ੍ਰਮ ਦੀਆਂ ਚੋਟੀਆਂ ਹਨ।"
Partner With Us,ਸਾਡੇ ਨਾਲ ਸਾਥੀ
Help us reach our goal of revolutionizing spectroscopy.,ਸਪੈਕਟ੍ਰੋਸਕੋਪੀ ਵਿੱਚ ਕ੍ਰਾਂਤੀ ਲਿਆਉਣ ਦੇ ਸਾਡੇ ਟੀਚੇ ਤੱਕ ਪਹੁੰਚਣ ਵਿੱਚ ਸਾਡੀ ਮਦਦ ਕਰੋ।
Donate Cash,ਨਕਦ ਦਾਨ ਕਰੋ
Buy From Swag Store,ਸਵੈਗ ਸਟੋਰ ਤੋਂ ਖਰੀਦੋ
Contribute time,ਸਮੇਂ ਦਾ ਯੋਗਦਾਨ ਦਿਓ
Revolutionizing,ਕ੍ਰਾਂਤੀਕਾਰੀ
Thriving,ਸੰਪੰਨ
Maintaining,ਕਾਇਮ ਰੱਖਣਾ
Supporting,ਸਪੋਰਟ ਕਰ ਰਿਹਾ ਹੈ
Saving,ਸੰਭਾਲ ਰਿਹਾ ਹੈ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ਇੱਕ ਅਦਾਇਗੀ ਟੀਮ ਜੋ ਓਪਨ ਸਪੀਸੀ ਨੂੰ ਇੱਕ ਸਿੰਗਲ ਕਲਿੱਕ ਨਾਲ 100% ਸਹੀ ਸਪੈਕਟ੍ਰਲ ਪਛਾਣ ਅਤੇ ਡੂੰਘੇ ਸਪੈਕਟ੍ਰਲ ਡਾਇਗਨੌਸਟਿਕਸ ਦੇ ਅੰਤਮ ਟੀਚੇ ਦੇ ਨੇੜੇ ਧੱਕ ਰਹੀ ਹੈ
A single paid staff person working to update and build the community and the tool,ਕਮਿਊਨਿਟੀ ਅਤੇ ਟੂਲ ਨੂੰ ਅੱਪਡੇਟ ਕਰਨ ਅਤੇ ਬਣਾਉਣ ਲਈ ਕੰਮ ਕਰਨ ਵਾਲਾ ਇੱਕ ਸਿੰਗਲ ਭੁਗਤਾਨ ਕੀਤਾ ਸਟਾਫ ਵਿਅਕਤੀ
Maintenance costs and minor ad-hoc updates and bug fixes,ਰੱਖ-ਰਖਾਅ ਦੇ ਖਰਚੇ ਅਤੇ ਮਾਮੂਲੀ ਐਡ-ਹਾਕ ਅੱਪਡੇਟ ਅਤੇ ਬੱਗ ਫਿਕਸ
Keeping the app online and essential maintenance,ਐਪ ਨੂੰ ਔਨਲਾਈਨ ਰੱਖਣਾ ਅਤੇ ਜ਼ਰੂਰੀ ਰੱਖ-ਰਖਾਅ
Long term storage only,ਸਿਰਫ਼ ਲੰਬੇ ਸਮੇਂ ਦੀ ਸਟੋਰੇਜ
Sharing Metadata,ਮੈਟਾਡੇਟਾ ਸਾਂਝਾ ਕਰਨਾ
Thank you for sharing your data!,ਆਪਣਾ ਡੇਟਾ ਸਾਂਝਾ ਕਰਨ ਲਈ ਧੰਨਵਾਦ!
Your data will soon be available at https://osf.io/stmv4/,ਤੁਹਾਡਾ ਡੇਟਾ ਜਲਦੀ ਹੀ https://osf.io/stmv4/ 'ਤੇ ਉਪਲਬਧ ਹੋਵੇਗਾ
Something went wrong :-(,ਕੁਝ ਗਲਤ ਹੋ ਗਿਆ :-(
Data type not supported!,ਡਾਟਾ ਕਿਸਮ ਸਮਰਥਿਤ ਨਹੀਂ ਹੈ!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ਅੱਪਲੋਡ ਕੀਤੀ ਡਾਟਾ ਕਿਸਮ ਵਰਤਮਾਨ ਵਿੱਚ ਸਮਰਥਿਤ ਨਹੀਂ ਹੈ; ਕ੍ਰਿਪਾ
                      ਵੇਰਵਿਆਂ ਲਈ ਟੂਲਟਿਪਸ ਅਤੇ 'ਬਾਰੇ' ਟੈਬ ਦੀ ਜਾਂਚ ਕਰੋ।"
Sharing Spectrum to Community Library,ਕਮਿਊਨਿਟੀ ਲਾਇਬ੍ਰੇਰੀ ਨਾਲ ਸਪੈਕਟ੍ਰਮ ਸਾਂਝਾ ਕਰਨਾ
Reading Spectrum,ਰੀਡਿੰਗ ਸਪੈਕਟ੍ਰਮ
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","ਜੇਕਰ ਤੁਸੀਂ ਇੱਕ ਟੈਕਸਟ/ਸੀਐਸਵੀ ਫਾਈਲ ਅਪਲੋਡ ਕੀਤੀ ਹੈ, ਤਾਂ ਯਕੀਨੀ ਬਣਾਓ ਕਿ
           ਕਾਲਮ ਸੰਖਿਆਤਮਕ ਹਨ ਅਤੇ 'ਵੇਵਨੰਬਰ' ਅਤੇ
           'ਤੀਬਰਤਾ'।"
absorbance intensity [-],ਸੋਖਣ ਦੀ ਤੀਬਰਤਾ [-]
wavenumber [cm<sup>-1</sup>],ਤਰੰਗ ਸੰਖਿਆ [cm<sup>-1</sup>]
Analyzing Spectrum,ਸਪੈਕਟ੍ਰਮ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ ਕਰਨਾ
Finding Match,ਮੇਲ ਲੱਭ ਰਿਹਾ ਹੈ
Making Plot,ਪਲਾਟ ਬਣਾਉਣਾ
Material,ਸਮੱਗਰੀ
Pearson's r,ਪੀਅਰਸਨ ਦੇ ਆਰ
Organization,ਸੰਗਠਨ
Selectable Matches,ਚੋਣਯੋਗ ਮੈਚ
Donations,ਦਾਨ
Operation Costs,ਓਪਰੇਸ਼ਨ ਦੀ ਲਾਗਤ
Selection Metadata,ਚੋਣ ਮੈਟਾਡੇਟਾ
