en,kn
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","ಈ ಬೇಸ್‌ಲೈನ್ ತಿದ್ದುಪಡಿ ದಿನಚರಿಯು ಬೇಸ್‌ಲೈನ್ ತಿದ್ದುಪಡಿಗಾಗಿ ಎರಡು ಆಯ್ಕೆಗಳನ್ನು ಹೊಂದಿದೆ, 1) ಸ್ಪೆಕ್ಟ್ರಾದ ಸಂಪೂರ್ಣ ಪ್ರದೇಶಕ್ಕೆ ಬಹುಪದದ ಫಿಟ್ ಅನ್ನು ಬಳಸಿಕೊಂಡು ಸ್ಪೆಕ್ಟ್ರಮ್‌ನ ಬೇಸ್‌ಲೈನ್ ಅನ್ನು ಪುನರಾವರ್ತಿತವಾಗಿ ಕಂಡುಹಿಡಿಯುವ ಬಹುಪದೀಯ ಇಮೋಡ್‌ಪಾಲಿಫಿಟ್ ಕಾರ್ಯವಿಧಾನ. 2) ಪ್ಲಾಟ್‌ನಲ್ಲಿನ ಲೈನ್ ಟೂಲ್ ಅನ್ನು ಬಳಸಿಕೊಂಡು ಹಸ್ತಚಾಲಿತ ರೇಖೆಗಳನ್ನು ಎಳೆಯಬಹುದು ಮತ್ತು ಸರಿಯಾದ ಬಟನ್ ಬೇಸ್‌ಲೈನ್ ಅನ್ನು ಕಳೆಯಲು ರೇಖೆಗಳನ್ನು ಬಳಸುತ್ತದೆ."
Baseline Correction Polynomial,ಬೇಸ್ಲೈನ್ ತಿದ್ದುಪಡಿ ಬಹುಪದೋಕ್ತಿ
Technique,ತಂತ್ರ
Polynomial,ಬಹುಪದೋಕ್ತಿ
Manual,ಕೈಪಿಡಿ
Correct With Trace,ಟ್ರೇಸ್ನೊಂದಿಗೆ ಸರಿಪಡಿಸಿ
Reset,ಮರುಹೊಂದಿಸಿ
Range Selection,ಶ್ರೇಣಿಯ ಆಯ್ಕೆ
Spectral Range Help,ಸ್ಪೆಕ್ಟ್ರಲ್ ರೇಂಜ್ ಸಹಾಯ
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,ಸ್ಪೆಕ್ಟ್ರಲ್ ಶ್ರೇಣಿಯನ್ನು ನಿರ್ಬಂಧಿಸುವುದರಿಂದ ಯಾವುದೇ ಶಿಖರಗಳಿಲ್ಲದ ಸ್ಪೆಕ್ಟ್ರಮ್ ಪ್ರದೇಶಗಳನ್ನು ತೆಗೆದುಹಾಕಬಹುದು ಮತ್ತು ಹೊಂದಾಣಿಕೆಯನ್ನು ಸುಧಾರಿಸಬಹುದು
Maximum Spectral Range,ಗರಿಷ್ಠ ರೋಹಿತ ಶ್ರೇಣಿ
Minimum Spectral Range,ಕನಿಷ್ಠ ಸ್ಪೆಕ್ಟ್ರಲ್ ರೇಂಜ್
Identify Spectrum,ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು ಗುರುತಿಸಿ
Identify Spectrum Using the Reference Library,ರೆಫರೆನ್ಸ್ ಲೈಬ್ರರಿಯನ್ನು ಬಳಸಿಕೊಂಡು ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು ಗುರುತಿಸಿ
Raman,ರಾಮನ್
FTIR,FTIR
Spectra,ಸ್ಪೆಕ್ಟ್ರಾ
Type,ಮಾದರಿ
Spectrum Type Help,ಸ್ಪೆಕ್ಟ್ರಮ್ ಟೈಪ್ ಸಹಾಯ
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,ಈ ಆಯ್ಕೆಯು FTIR ಅಥವಾ ರಾಮನ್ ಹೊಂದಾಣಿಕೆಯ ಲೈಬ್ರರಿಯನ್ನು ಬಳಸಲಾಗಿದೆಯೇ ಎಂಬುದನ್ನು ನಿರ್ಧರಿಸುತ್ತದೆ. ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾದ ಸ್ಪೆಕ್ಟ್ರಮ್ ಪ್ರಕಾರವನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Analysis,ವಿಶ್ಲೇಷಣೆ
Processed,ಸಂಸ್ಕರಿಸಲಾಗಿದೆ
Uploaded,ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾಗಿದೆ
Spectrum to Analyze Help,ಸಹಾಯವನ್ನು ವಿಶ್ಲೇಷಿಸಲು ಸ್ಪೆಕ್ಟ್ರಮ್
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,ಈ ಆಯ್ಕೆಯು ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾದ (ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಿಲ್ಲ) ಸ್ಪೆಕ್ಟ್ರಮ್ ಅಥವಾ ಪ್ರೊಸೆಸಿಂಗ್ ಟ್ಯಾಬ್ ಬಳಸಿ ಸಂಸ್ಕರಿಸಿದ ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು ಸ್ಪೆಕ್ಟ್ರಮ್ ಹೊಂದಾಣಿಕೆಯಲ್ಲಿ ಬಳಸಲಾಗಿದೆಯೇ ಎಂಬುದನ್ನು ನಿರ್ಧರಿಸುತ್ತದೆ.
Region,ಪ್ರದೇಶ
Full,ಪೂರ್ಣ
Peaks,ಶಿಖರಗಳು
Region to Match Help,ಸಹಾಯವನ್ನು ಹೊಂದಿಸಲು ಪ್ರದೇಶ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,ನೀವು ಹೊಂದಿಕೆಯಾಗುವ ಲೈಬ್ರರಿಯು ಪೂರ್ಣ ಸ್ಪೆಕ್ಟ್ರಮ್ ಅಥವಾ ಸ್ಪೆಕ್ಟ್ರಮ್ ಶಿಖರಗಳನ್ನು ಮಾತ್ರ ಒಳಗೊಂಡಿದೆಯೇ ಎಂಬುದನ್ನು ಈ ಆಯ್ಕೆಯು ನಿರ್ಧರಿಸುತ್ತದೆ.
Partner With Us,ನಮ್ಮೊಂದಿಗೆ ಪಾಲುದಾರ
Help us reach our goal of revolutionizing spectroscopy.,ಸ್ಪೆಕ್ಟ್ರೋಸ್ಕೋಪಿಯನ್ನು ಕ್ರಾಂತಿಗೊಳಿಸುವ ನಮ್ಮ ಗುರಿಯನ್ನು ತಲುಪಲು ನಮಗೆ ಸಹಾಯ ಮಾಡಿ.
Donate Cash,ನಗದು ದೇಣಿಗೆ ನೀಡಿ
Buy From Swag Store,ಸ್ವಾಗ್ ಅಂಗಡಿಯಿಂದ ಖರೀದಿಸಿ
Contribute time,ಸಮಯವನ್ನು ಕೊಡುಗೆ ನೀಡಿ
Revolutionizing,ಕ್ರಾಂತಿಕಾರಿ
Thriving,ಪ್ರವರ್ಧಮಾನಕ್ಕೆ ಬರುತ್ತಿದೆ
Maintaining,ನಿರ್ವಹಿಸುವುದು
Supporting,ಪೋಷಕ
Saving,ಉಳಿಸಲಾಗುತ್ತಿದೆ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ಒಂದೇ ಕ್ಲಿಕ್‌ನಲ್ಲಿ 100% ನಿಖರವಾದ ಸ್ಪೆಕ್ಟ್ರಲ್ ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಆಳವಾದ ಸ್ಪೆಕ್ಟ್ರಲ್ ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್‌ನ ಅಂತಿಮ ಗುರಿಯತ್ತ ಓಪನ್ ಸ್ಪೆಸಿಯನ್ನು ಹತ್ತಿರಕ್ಕೆ ತಳ್ಳುತ್ತಿರುವ ಪಾವತಿಸಿದ ತಂಡ
A single paid staff person working to update and build the community and the tool,ಸಮುದಾಯ ಮತ್ತು ಉಪಕರಣವನ್ನು ನವೀಕರಿಸಲು ಮತ್ತು ನಿರ್ಮಿಸಲು ಕೆಲಸ ಮಾಡುವ ಏಕೈಕ ಪಾವತಿಸಿದ ಸಿಬ್ಬಂದಿ
Maintenance costs and minor ad-hoc updates and bug fixes,ನಿರ್ವಹಣೆ ವೆಚ್ಚಗಳು ಮತ್ತು ಸಣ್ಣ ತಾತ್ಕಾಲಿಕ ನವೀಕರಣಗಳು ಮತ್ತು ದೋಷ ಪರಿಹಾರಗಳು
Keeping the app online and essential maintenance,ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಇರಿಸುವುದು ಮತ್ತು ಅಗತ್ಯ ನಿರ್ವಹಣೆ
Long term storage only,ದೀರ್ಘಾವಧಿಯ ಸಂಗ್ರಹಣೆ ಮಾತ್ರ
Sharing Metadata,ಮೆಟಾಡೇಟಾವನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ
Thank you for sharing your data!,ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಹಂಚಿಕೊಂಡಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು!
Your data will soon be available at https://osf.io/stmv4/,ನಿಮ್ಮ ಡೇಟಾ ಶೀಘ್ರದಲ್ಲೇ https://osf.io/stmv4/ ನಲ್ಲಿ ಲಭ್ಯವಿರುತ್ತದೆ
Something went wrong :-(,ಏನೋ ತಪ್ಪಾಗಿದೆ :-(
Data type not supported!,ಡೇಟಾ ಪ್ರಕಾರವು ಬೆಂಬಲಿತವಾಗಿಲ್ಲ!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾದ ಡೇಟಾ ಪ್ರಕಾರವು ಪ್ರಸ್ತುತ ಬೆಂಬಲಿತವಾಗಿಲ್ಲ; ದಯವಿಟ್ಟು
                      ವಿವರಗಳಿಗಾಗಿ ಟೂಲ್ಟಿಪ್ಸ್ ಮತ್ತು 'ಬಗ್ಗೆ' ಟ್ಯಾಬ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿ."
Sharing Spectrum to Community Library,ಸಮುದಾಯ ಲೈಬ್ರರಿಗೆ ಸ್ಪೆಕ್ಟ್ರಮ್ ಹಂಚಿಕೆ
Reading Spectrum,ಓದುವಿಕೆ ಸ್ಪೆಕ್ಟ್ರಮ್
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","ನೀವು ಪಠ್ಯ/csv ಫೈಲ್ ಅನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿದರೆ, ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ
           ಕಾಲಮ್‌ಗಳು ಸಂಖ್ಯಾತ್ಮಕವಾಗಿವೆ ಮತ್ತು 'ವೇವನ್‌ನಂಬರ್' ಎಂದು ಹೆಸರಿಸಲಾಗಿದೆ ಮತ್ತು
           'ತೀವ್ರತೆ'."
absorbance intensity [-],ಹೀರಿಕೊಳ್ಳುವ ತೀವ್ರತೆ [-]
wavenumber [cm<sup>-1</sup>],ತರಂಗಸಂಖ್ಯೆ [cm<sup>-1</sup>]
Analyzing Spectrum,ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು ವಿಶ್ಲೇಷಿಸಲಾಗುತ್ತಿದೆ
Finding Match,ಹೊಂದಾಣಿಕೆಯನ್ನು ಹುಡುಕಲಾಗುತ್ತಿದೆ
Making Plot,ಕಥಾವಸ್ತುವನ್ನು ತಯಾರಿಸುವುದು
Material,ವಸ್ತು
Pearson's r,ಪಿಯರ್ಸನ್ ಆರ್
Organization,ಸಂಸ್ಥೆ
Selectable Matches,ಆಯ್ಕೆ ಮಾಡಬಹುದಾದ ಹೊಂದಾಣಿಕೆಗಳು
Donations,ದೇಣಿಗೆಗಳು
Operation Costs,ಕಾರ್ಯಾಚರಣೆಯ ವೆಚ್ಚಗಳು
Selection Metadata,ಆಯ್ಕೆ ಮೆಟಾಡೇಟಾ
